"","IterYear","AgeInYears","cohortsize"
"10788",2040,18,7791907.14609473
"10789",2040,19,7681032.17873399
"10790",2040,20,7573508.35602148
"10791",2040,21,7469558.9642507
"10792",2040,22,7370598.81905399
"10793",2040,23,7410448.23559479
"10794",2040,24,7171481.53869286
"10795",2040,25,7071193.97754383
"10796",2040,26,6966957.63284166
"10797",2040,27,6857256.43559092
"10798",2040,28,6872016.36987653
"10799",2040,29,6619802.9128401
"10800",2040,30,6493432.07566864
"10801",2040,31,6364063.94170542
"10802",2040,32,6233701.73835443
"10803",2040,33,6106450.79771504
"10804",2040,34,6091455.65906337
"10805",2040,35,5848321.78522891
"10806",2040,36,5721660.08550049
"10807",2040,37,5594883.66539824
"10808",2040,38,5467967.70220613
"10809",2040,39,5343935.75173811
"10810",2040,40,5317478.1970078
"10811",2040,41,5093029.25075857
"10812",2040,42,4972558.07911752
"10813",2040,43,4855581.25777473
"10814",2040,44,4744938.04595228
"10815",2040,45,4724864.33833875
"10816",2040,46,4532138.5677863
"10817",2040,47,4433995.76165495
"10818",2040,48,4340244.8677773
"10819",2040,49,4250726.58312077
"10820",2040,50,4166876.35066103
"10821",2040,51,4162678.02781821
"10822",2040,52,4004729.73117961
"10823",2040,53,3928062.9013588
"10824",2040,54,3852676.42846456
"10825",2040,55,3777645.21226644
"10826",2040,56,3774052.36262799
"10827",2040,57,3626045.17948444
"10828",2040,58,3548532.83174471
"10829",2040,59,3469242.86100819
"10830",2040,60,3387701.5038231
"10831",2040,61,3305600.75728121
"10832",2040,62,3281159.74647647
"10833",2040,63,3132216.82709805
"10834",2040,64,3045464.70286905
"10835",2040,65,2958694.21150792
"10836",2040,66,2872479.0564076
"10837",2040,67,2789263.16134168
"10838",2040,68,2757915.60971234
"10839",2040,69,2626450.8014894
"10840",2040,70,2552323.35619216
"10841",2040,71,2483685.88504235
"10842",2040,72,2422017.82742208
"10843",2040,73,2409687.66642038
"10844",2040,74,2312056.88560322
"10845",2040,75,2264600.10186426
"10846",2040,76,2220339.27812857
"10847",2040,77,2178091.75515183
"10848",2040,78,2137631.43100052
"10849",2040,79,2136680.05327412
"10850",2040,80,2055341.68753869
"10851",2040,81,2014858.25417659
"10852",2040,82,1974978.8855134
"10853",2040,83,1936022.72582413
"10854",2040,84,1935041.73040671
"10855",2040,85,1861833.89601332
"10856",2040,86,1826799.88708692
"10857",2040,87,1793156.17761715
"10858",2040,88,1760941.11770855
"10859",2040,89,1591792.94750303
"10860",2040,90,1247064.0670118
"10861",2040,91,1246420.56940809
"10862",2040,92,1245772.55491258
"10863",2040,93,1245131.06795651
"10864",2040,94,1142299.13265732
"10865",2040,95,998589.143553996
"10866",2040,96,997936.770033162
"10867",2040,97,997280.029232035
"10868",2040,98,996623.914231387
"10869",2040,99,939230.843920203
"10870",2040,100,859204.567458255
"10871",2040,101,858640.315063175
"10872",2040,102,858068.709616953
"10873",2040,103,857498.465819336
"10874",2040,104,809876.536325695
"10875",2040,105,743493.163286008
"10876",2040,106,742997.600445833
"10877",2040,107,742500.106564748
"10878",2040,108,742002.630871355
"10879",2040,109,701132.917045839
"10880",2040,110,644165.869907759
"10881",2040,111,643745.882215556
"10882",2040,112,643327.856810575
"10883",2040,113,642909.642446611
"10884",2040,114,607168.761174956
"10885",2040,115,557338.091820694
"10886",2040,116,556975.763364915
"10887",2040,117,556613.919294104
"10888",2040,118,556252.230318839
"10889",2040,119,522849.089577469
"10890",2040,120,11349186.3048928
